"Manufacturer","Model_Name","Type","Capacity_or_Rating","Key_Features"
"Vestas","V162-6.2 MW","Onshore Wind Turbine","6.2 MW","EnVentus platform, large rotor for low-medium wind"
"Vestas","V150-4.2 MW","Onshore Wind Turbine","4.2 MW","4 MW platform, versatile site suitability"
"Vestas","V236-15.0 MW","Offshore Wind Turbine","15.0 MW","Flagship offshore, massive energy yield"
"Siemens Gamesa","SG 14-222 DD","Offshore Wind Turbine","14.0 MW","Direct Drive, high reliability for offshore"
"Siemens Gamesa","SG 6.6-170","Onshore Wind Turbine","6.6 MW","Geared technology, optimized for medium to high winds"
"GE Vernova","Haliade-X 14 MW","Offshore Wind Turbine","14.0 MW","Industry-leading capacity factor, 220m rotor"
"GE Vernova","Cypress 6.0-164","Onshore Wind Turbine","6.0 MW","Two-piece blade design for easier transport"
"Suzlon","S144","Onshore Wind Turbine","3.0 MW","Designed for low wind sites in India, tubular tower"
"Suzlon","S120","Onshore Wind Turbine","2.1 MW","DFIG technology, proven performance"
"INOX Wind","3.3 MW Platform","Onshore Wind Turbine","3.3 MW","Designed for low wind speed regimes"
"INOX Wind","2.0 MW DFIG","Onshore Wind Turbine","2.0 MW","Double Fed Induction Generator, robust design"
